time_s,phase,command_height_m,base_height_m,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,joint_15_pos,joint_0_target,joint_1_target,joint_2_target,joint_3_target,joint_4_target,joint_5_target,joint_6_target,joint_7_target,joint_8_target,joint_9_target,joint_10_target,joint_11_target,joint_12_target,joint_13_target,joint_14_target,joint_15_target
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
2.27999997,height_interpolation,0.25779584,0.45976433,-0.04189920,-1.03222680,2.16518307,3.88920355,0.04200109,-1.03226233,2.16555762,3.85396004,-0.04048383,1.03371358,-2.16545153,2.75887513,0.03961068,1.03357494,-2.16354680,2.73091626,0.00000000,-1.02909827,2.05819654,0.00000000,-0.00000000,-1.02909827,2.05819654,0.00000000,0.00000000,1.02909827,-2.05819654,0.00000000,-0.00000000,1.02909827,-2.05819654,0.00000000
